Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
De'Aaron Fox,370,9.02,766,31.72,8.75,15.8,55.37%,3.0,9.27,32.39%,32.39%,5.22,4.7,12.79,4.31,4.7,26.87%,28.13%,47.83%,36.98%,0.52,52.86%,56.78%,0.78,1.17,7.44%,0.0,0.00%,26.87
Luke Kornet,239,9.2,492,20.73,8.74,11.38,76.79%,0.0,0.0,0.00%,0.00%,3.25,14.23,3.25,0.0,0.0,81.40%,97.22%,0.00%,0.00%,0.68,76.79%,78.46%,2.85,0.41,3.57%,0.0,0.00%,12.01
Keldon Johnson,432,4.6,908,27.75,7.49,12.33,60.71%,2.64,5.51,48.00%,48.00%,4.85,7.49,7.49,7.27,0.66,50.00%,61.82%,91.67%,30.86%,0.59,64.20%,67.74%,2.86,1.1,8.93%,0.11,2.00%,19.25
Lindy Waters III,87,10.95,183,15.85,1.09,1.64,66.67%,4.37,13.66,32.00%,32.00%,0.55,1.09,1.09,11.48,1.64,50.00%,50.00%,87.50%,89.29%,0.55,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,13.55
Julian Champagnie,428,7.64,884,19.68,1.81,3.28,55.17%,4.41,12.56,35.14%,35.14%,2.83,2.71,0.9,12.22,1.02,75.00%,92.31%,92.31%,79.29%,0.56,53.21%,57.38%,0.68,0.11,3.45%,0.0,0.00%,15.68
Stephon Castle,251,5.5,527,22.96,6.07,13.09,46.38%,0.95,5.5,17.24%,17.24%,7.97,4.17,7.97,2.85,0.0,34.38%,37.93%,100.00%,29.59%,0.57,40.31%,49.19%,1.14,1.14,8.70%,0.0,0.00%,24.71
Dylan Harper,262,4.16,547,24.13,8.41,17.37,48.42%,1.28,7.31,17.50%,17.50%,3.47,5.48,11.33,3.84,0.0,32.61%,34.09%,100.00%,29.63%,0.56,41.85%,44.90%,0.73,1.65,9.47%,0.18,2.50%,25.39
Carter Bryant,168,3.04,344,12.79,2.62,7.27,36.00%,2.03,8.72,23.33%,23.33%,1.45,2.33,2.91,6.1,0.0,44.44%,50.00%,100.00%,54.55%,0.61,35.45%,38.60%,0.58,1.16,16.00%,0.0,0.00%,16.12
Harrison Barnes,274,-0.11,557,16.16,2.87,5.57,51.61%,2.51,8.62,29.17%,29.17%,2.87,2.15,3.59,7.54,0.0,37.50%,40.00%,100.00%,60.76%,0.53,46.84%,50.57%,0.36,0.36,6.45%,0.0,0.00%,15.25
Jeremy Sochan,132,-11.64,275,19.27,7.64,10.55,72.41%,0.73,4.0,18.18%,18.18%,1.82,11.64,3.64,2.18,0.0,76.19%,88.89%,100.00%,27.50%,0.6,60.00%,61.63%,2.18,1.45,13.79%,0.0,0.00%,15.17
Victor Wembanyama,230,5.26,465,39.78,10.97,18.71,58.62%,2.15,5.16,41.67%,41.67%,11.4,12.47,9.46,5.16,1.29,56.86%,63.04%,80.00%,21.62%,0.53,59.46%,67.28%,2.15,0.43,2.30%,0.0,0.00%,30.02
David Jones Garcia,41,19.03,90,18.89,5.56,11.11,50.00%,2.22,4.44,50.00%,50.00%,1.11,2.22,8.89,6.67,0.0,20.00%,20.00%,100.00%,28.57%,0.62,57.14%,56.67%,0.0,1.11,10.00%,0.0,0.00%,19.23
Kelly Olynyk,128,18.77,261,19.54,4.98,7.66,65.00%,1.92,6.9,27.78%,27.78%,3.83,3.07,6.9,5.75,0.0,30.77%,50.00%,100.00%,47.37%,0.56,53.95%,55.43%,3.83,0.77,10.00%,0.38,5.56%,16.39
Bismack Biyombo,14,38.82,31,16.13,6.45,6.45,100.00%,0.0,0.0,0.00%,0.00%,3.23,12.9,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.8,100.00%,83.33%,0.0,0.0,0.00%,0.0,0.00%,12.5
Jordan McLaughlin,56,11.42,121,20.66,3.31,5.79,57.14%,4.13,9.09,45.45%,45.45%,1.65,3.31,3.31,12.4,0.0,50.00%,66.67%,100.00%,61.11%,0.56,63.89%,65.79%,1.65,0.0,0.00%,0.0,0.00%,14.79
Harrison Ingram,5,80.95,12,16.67,8.33,16.67,50.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,16.67,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.55,50.00%,50.00%,16.67,0.0,0.00%,0.0,0.00%,12.5
Riley Minix,5,80.95,12,75.0,25.0,25.0,100.00%,8.33,16.67,50.00%,50.00%,0.0,16.67,33.33,25.0,0.0,33.33%,50.00%,100.00%,40.00%,0.69,90.00%,90.00%,16.67,0.0,0.00%,0.0,0.00%,31.25
