Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
De'Aaron Fox,370,2.91,4.48,0.38,13.04%,1.41,6.32%,2.69,10.34%,8.49%,1.31,0.13,4.00%,0.39,1.78%,0.78,3.13%,2.49%,3.39%,7.50%,8.57%,10.45%,10.14%,2.70%,1.37%,0.00%,3.47%,2.08%,4,4.49%
Luke Kornet,239,5.73,5.38,0.0,0.00%,2.99,11.63%,2.39,9.45%,10.55%,6.1,0.2,9.09%,4.47,17.60%,1.42,5.60%,11.60%,5.13%,15.38%,12.00%,10.23%,7.69%,22.22%,12.50%,20.00%,5.56%,5.71%,2,20.00%
Keldon Johnson,432,6.8,8.96,0.66,26.09%,3.17,14.08%,5.14,21.56%,17.92%,4.63,0.22,8.33%,2.09,8.76%,2.31,9.86%,9.30%,15.87%,16.49%,6.52%,20.00%,25.00%,7.07%,9.78%,11.54%,10.39%,8.47%,7,12.07%
Lindy Waters III,87,4.35,7.57,0.54,20.00%,3.78,14.89%,3.24,16.22%,15.48%,1.09,0.0,0.00%,0.55,2.86%,0.55,1.82%,2.22%,30.77%,11.54%,0.00%,15.38%,18.18%,0.00%,5.26%,0.00%,2.50%,0.00%,0,0.00%
Julian Champagnie,428,5.08,9.01,1.01,45.00%,3.94,16.75%,4.05,16.51%,16.63%,1.13,0.0,0.00%,0.68,3.14%,0.45,1.79%,2.41%,9.86%,19.54%,21.57%,17.20%,14.75%,1.20%,6.25%,0.00%,2.48%,0.00%,3,3.66%
Stephon Castle,251,3.7,6.26,0.0,0.00%,3.42,14.17%,2.85,11.45%,12.79%,1.14,0.0,0.00%,0.76,3.45%,0.38,1.64%,2.52%,13.51%,12.28%,18.18%,9.09%,18.75%,3.85%,3.77%,0.00%,2.38%,0.00%,1,1.82%
Dylan Harper,262,3.55,5.42,0.36,10.00%,1.63,7.76%,3.44,15.20%,11.62%,1.65,0.18,7.14%,0.55,2.24%,0.91,3.94%,3.07%,3.45%,9.68%,8.00%,12.22%,22.86%,1.56%,3.57%,0.00%,3.45%,5.00%,3,4.17%
Carter Bryant,168,4.7,6.7,0.56,20.00%,3.35,15.00%,2.79,11.24%,13.02%,2.62,0.0,0.00%,1.16,5.71%,1.45,5.15%,5.39%,16.67%,11.63%,23.08%,11.86%,10.00%,5.88%,3.70%,11.11%,5.71%,3.70%,1,2.94%
Harrison Barnes,274,3.41,4.65,0.36,14.29%,3.22,12.41%,1.07,4.58%,8.70%,2.15,0.0,0.00%,1.08,4.41%,1.08,3.97%,4.18%,13.33%,13.51%,7.69%,5.43%,2.56%,7.27%,3.03%,0.00%,5.31%,0.00%,2,4.26%
Jeremy Sochan,132,5.55,7.39,0.35,9.09%,1.76,8.62%,5.28,26.79%,17.54%,3.64,0.0,0.00%,0.73,3.64%,2.91,11.43%,8.00%,10.71%,9.09%,0.00%,29.27%,20.00%,0.00%,8.00%,0.00%,13.21%,5.88%,0,0.00%
Victor Wembanyama,230,9.52,15.32,0.64,37.50%,8.09,35.85%,6.6,23.66%,29.11%,3.66,0.43,14.29%,2.37,9.73%,0.86,4.08%,7.11%,35.48%,41.46%,29.41%,25.24%,17.86%,9.62%,10.87%,6.67%,1.45%,10.34%,4,8.51%
David Jones Garcia,41,3.23,3.13,0.0,0.00%,0.0,0.00%,3.13,18.75%,10.34%,3.33,0.0,0.00%,0.0,0.00%,3.33,15.00%,8.33%,0.00%,0.00%,0.00%,23.08%,0.00%,0.00%,0.00%,0.00%,18.75%,0.00%,0,0.00%
Kelly Olynyk,128,4.79,6.13,0.38,20.00%,1.92,10.87%,3.83,14.93%,13.27%,3.45,0.0,0.00%,2.3,10.17%,1.15,4.69%,7.32%,6.67%,10.53%,16.67%,17.78%,9.09%,13.33%,9.09%,0.00%,6.25%,0.00%,0,0.00%
Bismack Biyombo,14,3.28,6.67,0.0,0.00%,0.0,0.00%,6.67,50.00%,20.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jordan McLaughlin,56,1.67,0.85,0.0,0.00%,0.0,0.00%,0.85,4.35%,2.13%,2.48,0.0,0.00%,1.65,6.06%,0.83,5.26%,5.77%,0.00%,0.00%,0.00%,4.76%,0.00%,0.00%,18.18%,0.00%,10.00%,0.00%,2,22.22%
Harrison Ingram,5,3.85,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,8.33,0.0,0.00%,8.33,33.33%,0.0,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1,100.00%
Riley Minix,5,3.85,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,8.33,0.0,0.00%,8.33,33.33%,0.0,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
