Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
De'Aaron Fox,267,1.24,1.06,0.18,0.53,0.35,0.18,0.0,0.18,0.89,71.43%,1.77,7,3,0.0
Luke Kornet,158,3.32,3.32,0.0,1.81,1.51,0.0,0.0,0.0,2.11,63.64%,0.0,0,0,0.0
Keldon Johnson,351,0.27,0.27,0.0,0.13,0.13,0.0,0.0,0.0,0.27,100.00%,0.94,3,4,0.0
Lindy Waters III,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.41,1,1,0.0
Julian Champagnie,333,0.43,0.29,0.14,0.0,0.14,0.14,0.0,0.14,0.14,33.33%,1.88,4,9,0.0
Stephon Castle,154,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.31,100.00%,1.87,2,4,0.0
Carter Bryant,144,0.65,0.65,0.0,0.33,0.33,0.0,0.0,0.0,0.33,50.00%,0.98,1,2,0.0
Jeremy Sochan,132,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.35,100.00%,1.76,2,3,0.0
Victor Wembanyama,206,2.84,2.84,0.0,1.18,1.66,0.0,0.0,0.0,0.95,33.33%,0.71,0,3,0.24
David Jones Garcia,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,4.17,2,2,0.0
Dylan Harper,194,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,100.00%,2.47,3,7,0.0
Harrison Barnes,196,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,100.00%,1.52,4,2,0.0
Kelly Olynyk,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.78,2,1,0.0
Bismack Biyombo,14,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.00%,3.33,0,1,0.0
Jordan McLaughlin,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.54,1,2,0.0
Harrison Ingram,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Riley Minix,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,7.14,0,1,0.0
