Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
De'Aaron Fox,267,4.35,2.54,1.81,58.33%,1.45,0.0,1.09,1.09,0.0,0.0,0.0,0.0
Luke Kornet,158,1.54,0.92,0.62,60.00%,0.0,0.31,0.92,0.0,0.0,0.0,0.0,0.0
Keldon Johnson,351,1.91,0.95,0.95,50.00%,0.55,0.14,0.41,0.41,0.14,0.0,0.0,0.0
Lindy Waters III,68,0.71,0.71,0.0,100.00%,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,333,1.45,0.44,1.02,30.00%,0.29,0.44,0.15,0.15,0.0,0.0,0.29,0.0
Stephon Castle,154,5.28,3.73,1.55,70.59%,1.86,0.31,1.86,0.62,0.31,0.0,0.0,0.0
Carter Bryant,144,2.36,0.67,1.68,28.57%,0.0,0.34,0.67,1.01,0.0,0.0,0.34,0.0
Jeremy Sochan,132,2.18,0.36,1.82,16.67%,0.0,0.36,0.36,0.73,0.36,0.0,0.0,0.0
Victor Wembanyama,206,5.8,2.66,3.14,45.83%,1.69,0.48,0.97,0.72,0.0,0.0,0.0,0.0
David Jones Garcia,41,5.56,5.56,0.0,100.00%,3.33,0.0,2.22,0.0,0.0,0.0,0.0,0.0
Dylan Harper,194,3.23,1.99,1.24,61.54%,0.5,0.74,1.49,0.0,0.25,0.0,0.0,0.0
Harrison Barnes,196,1.78,1.27,0.51,71.43%,0.25,0.25,1.02,0.25,0.0,0.0,0.0,0.0
Kelly Olynyk,83,1.8,0.0,1.8,0.00%,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
Bismack Biyombo,14,3.23,3.23,0.0,100.00%,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,56,1.65,1.65,0.0,100.00%,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0
Harrison Ingram,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Minix,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
