Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Brandon Ingram,714,5.95,15.16,2.7,3.25,2.21,0.42,0.07,0.69,2.56
Mo Bamba,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandro Mamukelashvili,664,3.79,9.61,1.75,2.04,1.09,0.51,0.15,0.29,1.75
Gradey Dick,405,2.59,6.46,1.29,1.29,1.06,0.24,0.0,0.59,0.71
Jamal Shead,539,12.62,28.94,8.93,3.7,6.4,1.53,0.99,1.26,2.43
RJ Barrett,284,6.13,14.82,3.58,2.56,2.56,0.68,0.34,0.51,2.04
Immanuel Quickley,602,10.76,25.8,6.49,4.27,3.94,1.48,1.07,1.48,2.79
Ochai Agbaji,322,2.14,5.36,1.07,1.07,0.77,0.15,0.15,0.31,0.77
Scottie Barnes,692,6.9,16.12,4.57,2.32,3.59,0.63,0.35,0.49,1.83
Collin Murray-Boyles,422,3.56,9.02,1.66,1.9,1.3,0.24,0.12,0.71,1.19
Ja'Kobe Walter,377,2.35,6.14,0.91,1.44,0.52,0.26,0.13,0.65,0.78
Jonathan Mogbo,48,2.88,7.69,0.96,1.92,0.96,0.0,0.0,0.0,1.92
Jamison Battle,139,2.85,5.69,2.85,0.0,1.78,1.07,0.0,0.0,0.0
A.J. Lawson,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Hepburn,10,11.11,27.78,5.56,5.56,5.56,0.0,0.0,0.0,5.56
Alijah Martin,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Temple,14,7.69,15.38,7.69,0.0,7.69,0.0,0.0,0.0,0.0
