Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Brandon Ingram,714,0.08,1445,29.97,9.41,17.92,52.51%,2.08,7.4,28.04%,28.04%,4.91,9.0,9.83,5.81,0.42,47.79%,50.00%,93.33%,29.23%,0.51,49.45%,54.00%,0.83,1.31,7.34%,0.28,3.74%,27.41
Mo Bamba,4,-100.0,9,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
Sandro Mamukelashvili,664,3.85,1373,24.4,6.12,9.83,62.22%,3.13,7.87,39.81%,39.81%,2.77,8.74,3.5,9.4,0.0,71.43%,80.00%,100.00%,44.44%,0.61,61.11%,63.93%,1.31,1.24,12.59%,0.0,0.00%,18.22
Gradey Dick,405,6.65,851,19.51,3.64,6.93,52.54%,2.94,9.28,31.65%,31.65%,3.41,6.35,0.94,8.81,0.0,87.10%,87.10%,100.00%,57.25%,0.58,49.64%,53.27%,0.0,0.71,10.17%,0.0,0.00%,16.82
Jamal Shead,539,6.77,1109,16.5,2.8,6.76,41.33%,2.71,8.03,33.71%,33.71%,2.8,2.16,3.43,7.3,0.81,38.71%,38.71%,90.00%,54.27%,0.56,46.34%,50.27%,0.0,1.26,18.67%,0.0,0.00%,16.82
RJ Barrett,284,-0.28,587,30.49,7.67,13.29,57.69%,3.24,8.35,38.78%,38.78%,5.45,8.18,7.16,9.71,0.0,53.33%,57.14%,100.00%,38.58%,0.6,57.87%,61.30%,1.02,1.53,11.54%,0.34,4.08%,25.0
Immanuel Quickley,602,0.21,1217,22.68,3.86,9.12,42.34%,3.53,10.35,34.13%,34.13%,4.35,3.12,4.6,9.12,1.48,40.43%,44.19%,86.05%,53.16%,0.53,47.05%,52.27%,0.66,1.31,14.41%,0.08,0.79%,21.61
Ochai Agbaji,322,3.3,653,14.85,4.9,9.04,54.24%,0.92,4.44,20.69%,20.69%,2.3,7.04,2.76,2.76,0.0,71.88%,95.83%,100.00%,32.95%,0.63,46.59%,50.00%,2.45,1.07,11.86%,0.0,0.00%,13.87
Scottie Barnes,692,3.01,1421,28.08,9.15,16.68,54.85%,1.9,5.14,36.99%,36.99%,4.08,10.84,7.46,5.28,0.42,59.23%,64.71%,92.59%,23.55%,0.56,55.00%,58.68%,1.55,1.2,7.17%,0.0,0.00%,23.72
Collin Murray-Boyles,422,-2.61,843,19.93,6.52,11.51,56.70%,1.54,3.2,48.15%,48.15%,2.25,9.96,3.08,4.63,0.0,76.36%,89.36%,100.00%,21.77%,0.62,60.08%,60.43%,1.9,0.71,6.19%,0.0,0.00%,16.6
Ja'Kobe Walter,377,-8.31,766,19.19,3.26,5.48,59.52%,3.39,9.27,36.62%,36.62%,2.48,4.44,2.09,10.18,0.0,68.00%,73.91%,100.00%,62.83%,0.57,56.64%,59.27%,0.52,0.65,11.90%,0.0,0.00%,14.97
Jonathan Mogbo,48,2.42,104,8.65,3.85,8.65,44.44%,0.0,0.0,0.00%,0.00%,0.96,3.85,3.85,0.0,0.0,50.00%,100.00%,0.00%,0.00%,0.62,44.44%,50.00%,3.85,0.96,11.11%,0.0,0.00%,8.4
Jamison Battle,139,18.58,281,21.35,3.56,4.98,71.43%,4.63,8.54,54.17%,54.17%,0.36,6.41,0.71,13.88,0.0,90.00%,100.00%,100.00%,63.16%,0.58,77.63%,76.92%,0.71,0.0,0.00%,0.0,0.00%,14.38
A.J. Lawson,19,-5.77,36,33.33,2.78,11.11,25.00%,5.56,8.33,66.67%,66.67%,11.11,5.56,0.0,16.67,0.0,100.00%,100.00%,100.00%,42.86%,0.64,57.14%,66.67%,0.0,0.0,0.00%,0.0,0.00%,23.08
Chucky Hepburn,10,-70.53,18,0.0,0.0,5.56,0.00%,0.0,22.22,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,80.00%,0.49,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,27.27
Alijah Martin,6,54.55,11,0.0,0.0,9.09,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.81,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,8.33
Garrett Temple,14,-9.13,26,0.0,0.0,3.85,0.00%,0.0,7.69,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,66.67%,0.52,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,14.29
