Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Brandon Ingram,714,4.39,7.54,0.41,15.79%,2.35,10.66%,4.77,19.77%,15.42%,1.25,0.0,0.00%,1.04,4.07%,0.21,0.88%,2.54%,6.96%,10.45%,17.14%,18.99%,21.98%,5.71%,3.14%,2.86%,0.79%,1.16%,8,4.57%
Mo Bamba,4,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Sandro Mamukelashvili,664,5.68,7.65,0.36,13.51%,3.72,16.61%,3.57,14.85%,15.70%,3.71,0.0,0.00%,1.97,7.67%,1.75,7.34%,7.51%,13.33%,19.55%,16.67%,15.79%,12.05%,6.47%,8.44%,8.47%,7.59%,6.67%,4,4.12%
Gradey Dick,405,2.89,4.37,0.0,0.00%,1.89,9.70%,2.48,10.05%,9.89%,1.41,0.0,0.00%,0.82,3.35%,0.59,2.55%,2.96%,10.77%,6.67%,16.00%,10.18%,9.52%,4.49%,0.00%,9.68%,2.67%,2.17%,2,2.63%
Jamal Shead,539,2.21,3.51,0.09,2.78%,1.89,8.82%,1.53,6.64%,7.69%,0.9,0.0,0.00%,0.54,2.14%,0.36,1.45%,1.80%,9.78%,6.48%,13.16%,7.04%,5.26%,1.68%,3.54%,0.00%,0.94%,3.17%,4,4.71%
RJ Barrett,284,4.04,7.17,1.5,45.00%,1.33,6.02%,4.33,17.81%,12.19%,0.85,0.0,0.00%,0.68,3.15%,0.17,0.74%,1.90%,3.33%,6.82%,10.34%,13.68%,25.49%,1.89%,3.45%,6.25%,1.02%,0.00%,2,3.85%
Immanuel Quickley,602,3.1,5.27,0.16,7.41%,2.43,10.10%,2.68,10.71%,10.41%,0.9,0.0,0.00%,0.58,2.35%,0.33,1.38%,1.87%,9.73%,10.48%,10.00%,11.50%,8.54%,1.85%,3.65%,0.00%,1.83%,0.00%,6,4.72%
Ochai Agbaji,322,4.01,5.84,0.3,14.29%,2.54,10.56%,2.99,11.63%,11.11%,2.14,0.15,6.25%,1.23,4.47%,0.77,3.33%,3.95%,10.00%,7.69%,16.67%,8.59%,20.45%,4.17%,6.02%,0.00%,3.48%,2.86%,3,6.98%
Scottie Barnes,692,6.67,9.78,0.85,31.58%,4.75,19.42%,4.18,17.72%,18.58%,3.59,0.07,2.94%,1.69,6.74%,1.83,7.65%,7.18%,14.81%,20.29%,26.39%,19.53%,11.69%,7.19%,7.55%,3.45%,6.72%,10.34%,15,11.11%
Collin Murray-Boyles,422,5.58,5.36,0.35,16.67%,2.33,10.99%,2.68,11.68%,11.35%,5.81,0.24,7.69%,3.32,12.17%,2.25,9.55%,10.96%,9.23%,11.90%,12.12%,11.18%,13.33%,11.54%,13.64%,10.53%,7.24%,17.02%,5,10.00%
Ja'Kobe Walter,377,3.13,3.91,0.13,5.00%,2.08,9.52%,1.69,7.78%,8.66%,2.35,0.0,0.00%,1.31,4.76%,1.04,4.04%,4.41%,14.49%,8.70%,0.00%,8.82%,3.23%,4.88%,5.32%,2.94%,3.18%,7.32%,1,1.79%
Jonathan Mogbo,48,5.19,5.56,0.93,100.00%,3.7,17.39%,0.93,6.25%,12.82%,4.81,0.0,0.00%,1.92,7.69%,2.88,13.64%,10.42%,16.67%,25.00%,0.00%,6.67%,0.00%,0.00%,13.33%,0.00%,12.50%,16.67%,1,25.00%
Jamison Battle,139,4.91,7.61,0.69,25.00%,3.81,15.71%,3.11,13.85%,14.81%,2.14,0.0,0.00%,0.71,3.33%,1.42,7.69%,5.36%,26.67%,10.00%,0.00%,11.54%,23.08%,0.00%,4.35%,7.14%,7.50%,8.33%,0,0.00%
A.J. Lawson,19,6.67,12.82,0.0,0.00%,2.56,9.09%,10.26,50.00%,26.32%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,33.33%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Chucky Hepburn,10,2.44,4.35,0.0,0.00%,0.0,0.00%,4.35,14.29%,7.14%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Alijah Martin,6,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Garrett Temple,14,3.45,6.25,0.0,0.00%,0.0,0.00%,6.25,40.00%,14.29%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
