Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Brandon Ingram,818,1.14,1.08,0.06,0.54,0.48,0.06,0.0,0.06,0.84,73.68%,1.02,6,11,0.06
Mo Bamba,6,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Sandro Mamukelashvili,730,1.39,1.32,0.07,0.92,0.4,0.0,0.0,0.07,0.99,71.43%,1.52,10,13,0.0
Gradey Dick,449,0.42,0.42,0.0,0.32,0.11,0.0,0.0,0.0,0.21,50.00%,2.43,11,12,0.0
Jamal Shead,592,0.24,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.08,33.33%,2.2,13,14,0.0
RJ Barrett,369,0.26,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.13,50.00%,1.28,4,6,0.0
Immanuel Quickley,698,0.14,0.07,0.07,0.0,0.07,0.0,0.0,0.07,0.07,50.00%,1.26,7,11,0.0
Ochai Agbaji,343,0.56,0.56,0.0,0.28,0.28,0.0,0.0,0.0,0.56,100.00%,1.41,5,5,0.0
Scottie Barnes,793,2.45,2.08,0.37,1.16,0.8,0.12,0.06,0.31,1.22,50.00%,1.84,7,23,0.06
Collin Murray-Boyles,504,1.46,1.46,0.0,1.36,0.1,0.0,0.0,0.0,0.68,46.67%,2.14,13,9,0.29
Ja'Kobe Walter,429,0.57,0.45,0.11,0.34,0.11,0.0,0.0,0.11,0.23,40.00%,2.05,11,7,0.0
Jonathan Mogbo,48,2.78,2.78,0.0,0.93,1.85,0.0,0.0,0.0,1.85,66.67%,1.85,1,1,0.0
Jamison Battle,146,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.33,100.00%,1.33,3,1,0.0
A.J. Lawson,19,5.13,5.13,0.0,2.56,2.56,0.0,0.0,0.0,2.56,50.00%,2.56,0,1,0.0
Chucky Hepburn,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,4.35,1,0,0.0
Alijah Martin,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,6.67,1,0,0.0
Garrett Temple,14,3.13,3.13,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.00%,3.13,1,0,0.0
