Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Brandon Ingram,818,3.73,2.04,1.68,54.84%,0.72,0.24,1.32,0.36,0.24,0.0,0.12,0.0
Mo Bamba,6,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandro Mamukelashvili,730,1.84,0.92,0.92,50.00%,0.26,0.13,0.66,0.26,0.2,0.0,0.0,0.0
Gradey Dick,449,1.47,0.74,0.74,50.00%,0.21,0.0,0.53,0.42,0.11,0.0,0.21,0.0
Jamal Shead,592,3.27,2.04,1.23,62.50%,0.57,0.0,1.47,0.74,0.08,0.0,0.0,0.0
RJ Barrett,369,3.39,2.48,0.91,73.08%,0.65,0.0,1.83,0.26,0.26,0.0,0.13,0.0
Immanuel Quickley,698,2.67,1.97,0.7,73.68%,0.49,0.14,1.48,0.21,0.07,0.0,0.0,0.0
Ochai Agbaji,343,1.15,0.58,0.58,50.00%,0.14,0.14,0.43,0.14,0.0,0.0,0.0,0.0
Scottie Barnes,793,3.29,2.07,1.22,62.96%,0.67,0.0,1.4,0.67,0.18,0.0,0.06,0.0
Collin Murray-Boyles,504,2.57,0.89,1.68,34.62%,0.2,0.3,0.69,0.49,0.1,0.0,0.1,0.0
Ja'Kobe Walter,429,1.26,1.03,0.23,81.82%,0.23,0.0,0.8,0.0,0.11,0.0,0.0,0.0
Jonathan Mogbo,48,0.96,0.96,0.0,100.00%,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0
Jamison Battle,146,2.05,1.71,0.34,83.33%,0.68,0.34,1.02,0.0,0.0,0.0,0.0,0.0
A.J. Lawson,19,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Hepburn,10,5.56,5.56,0.0,100.00%,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
Alijah Martin,8,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Temple,14,3.85,3.85,0.0,100.00%,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0
