Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Lauri Markkanen,172,2.7,7.01,1.08,1.62,0.27,0.81,0.0,0.54,1.08
Svi Mykhailiuk,104,2.8,7.94,0.47,2.34,0.0,0.47,0.0,0.93,1.4
Walker Kessler,96,3.55,8.12,2.54,1.02,1.52,1.02,0.0,0.51,0.51
Taylor Hendricks,61,1.64,4.92,0.0,1.64,0.0,0.0,0.0,0.82,0.82
Keyonte George,199,9.44,22.03,6.3,3.15,2.91,3.39,0.0,1.21,1.94
Walter Clayton Jr.,66,4.41,9.56,3.68,0.74,2.21,1.47,0.0,0.0,0.74
Brice Sensabaugh,96,2.94,7.35,1.47,1.47,0.98,0.49,0.0,0.0,1.47
Kyle Filipowski,169,5.37,12.99,3.11,2.26,2.26,0.56,0.28,0.56,1.69
Kyle Anderson,52,7.14,16.96,4.46,2.68,3.57,0.89,0.0,0.89,1.79
Elijah Harkless,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Collier,96,13.53,32.37,8.21,5.31,6.28,1.93,0.0,1.93,3.38
Cody Williams,73,4.4,10.69,2.52,1.89,1.89,0.63,0.0,1.26,0.63
