Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Lauri Markkanen,311,0.85,657,37.44,9.74,15.98,60.95%,2.89,9.74,29.69%,29.69%,9.28,14.61,4.87,7.76,0.91,75.00%,81.36%,89.47%,37.87%,0.52,54.73%,61.17%,1.52,0.76,4.76%,0.15,1.56%,27.49
Svi Mykhailiuk,220,-4.23,448,13.62,1.79,3.35,53.33%,3.13,8.48,36.84%,36.84%,0.67,2.68,0.89,8.71,0.67,75.00%,85.71%,92.86%,71.70%,0.56,54.72%,56.48%,0.45,0.45,13.33%,0.0,0.00%,11.62
Walker Kessler,96,20.3,197,23.86,7.11,9.64,73.68%,2.03,2.03,100.00%,100.00%,3.55,8.12,6.09,6.09,0.0,57.14%,100.00%,100.00%,17.39%,0.57,86.96%,83.93%,6.09,1.52,15.79%,0.0,0.00%,16.59
Taylor Hendricks,132,-9.88,258,18.22,3.49,5.43,64.29%,3.1,5.81,53.33%,53.33%,1.94,6.2,0.78,9.3,0.0,88.89%,100.00%,100.00%,51.72%,0.55,72.41%,75.81%,0.78,0.0,0.00%,0.0,0.00%,13.49
Keyonte George,394,-4.88,823,35.48,7.17,13.37,53.64%,4.37,11.42,38.30%,38.30%,8.02,7.29,7.05,10.57,2.55,50.85%,50.85%,80.56%,46.08%,0.5,55.39%,61.60%,0.0,1.22,9.09%,0.12,1.06%,30.11
Walter Clayton Jr.,137,-11.85,273,20.15,3.66,6.23,58.82%,2.56,9.52,26.92%,26.92%,5.13,2.93,4.4,6.59,1.1,40.00%,40.00%,85.71%,60.47%,0.5,47.67%,56.12%,0.0,0.73,11.76%,0.37,3.85%,17.79
Brice Sensabaugh,261,-9.73,546,23.63,5.68,9.52,59.62%,3.11,10.26,30.36%,30.36%,2.93,8.79,2.56,9.34,0.0,77.42%,80.00%,100.00%,51.85%,0.54,52.31%,55.13%,0.37,0.92,9.62%,0.18,1.79%,22.13
Kyle Filipowski,337,1.38,697,18.65,5.16,9.18,56.25%,1.87,5.45,34.21%,34.21%,2.73,6.31,4.02,5.6,0.0,61.11%,75.86%,100.00%,37.25%,0.54,54.41%,57.02%,2.01,1.29,14.06%,0.0,0.00%,16.79
Kyle Anderson,93,-18.81,197,15.23,5.08,10.15,50.00%,0.0,0.0,0.00%,0.00%,5.08,4.06,6.09,0.0,0.0,40.00%,50.00%,0.00%,0.00%,0.52,50.00%,57.69%,2.03,0.51,5.00%,0.0,0.00%,15.21
Elijah Harkless,17,15.75,35,11.43,0.0,0.0,0.00%,2.86,8.57,33.33%,33.33%,2.86,0.0,0.0,8.57,0.0,0.00%,0.00%,100.00%,100.00%,0.53,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,10.53
Kevin Love,203,-7.33,427,25.06,2.81,4.92,57.14%,5.39,12.65,42.59%,42.59%,3.28,2.34,3.28,16.16,0.0,41.67%,83.33%,100.00%,72.00%,0.54,62.00%,65.24%,2.81,0.23,4.76%,0.0,0.00%,18.57
Isaiah Collier,301,-21.05,628,16.88,5.1,8.28,61.54%,0.8,2.39,33.33%,33.33%,4.3,2.87,7.32,1.43,0.96,28.13%,28.13%,60.00%,22.39%,0.5,58.96%,62.35%,0.0,1.43,17.31%,0.0,0.00%,16.95
Cody Williams,162,-3.76,340,15.59,5.59,10.0,55.88%,0.88,4.71,18.75%,18.75%,1.76,9.41,1.76,2.65,0.0,84.21%,88.89%,100.00%,32.00%,0.55,47.00%,50.00%,0.59,1.76,17.65%,0.0,0.00%,15.08
Oscar Tshiebwe,14,-23.1,29,0.0,0.0,10.34,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.45,0.00%,0.00%,0.0,6.9,66.67%,0.0,0.00%,8.57
