Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Lauri Markkanen,172,4.03,6.17,1.07,44.44%,2.41,10.71%,2.68,10.10%,10.38%,1.89,0.0,0.00%,1.35,6.85%,0.54,2.47%,4.55%,17.24%,7.69%,6.25%,11.11%,7.41%,10.00%,7.14%,0.00%,1.52%,6.67%,1,2.50%
Svi Mykhailiuk,104,2.35,2.36,0.0,0.00%,1.42,6.82%,0.94,3.51%,4.95%,2.34,0.0,0.00%,0.47,2.27%,1.87,8.33%,5.43%,0.00%,4.76%,20.00%,2.86%,4.55%,0.00%,4.17%,0.00%,10.53%,0.00%,0,0.00%
Walker Kessler,96,8.38,9.64,0.51,20.00%,4.06,19.05%,5.08,16.95%,17.82%,7.11,0.0,0.00%,4.06,26.67%,3.05,12.77%,18.18%,15.38%,26.32%,10.00%,15.00%,21.05%,28.57%,29.41%,16.67%,14.63%,0.00%,2,100.00%
Taylor Hendricks,61,5.24,7.94,0.0,0.00%,4.76,20.00%,3.17,13.33%,16.67%,2.46,0.82,25.00%,0.82,3.33%,0.82,4.17%,3.70%,22.22%,12.50%,40.00%,14.29%,11.11%,16.67%,0.00%,0.00%,5.88%,0.00%,0,0.00%
Keyonte George,199,2.99,5.69,0.0,0.00%,2.61,13.25%,3.08,11.50%,12.24%,0.24,0.0,0.00%,0.24,1.19%,0.0,0.00%,0.57%,11.54%,14.63%,12.50%,12.35%,9.38%,0.00%,2.17%,0.00%,0.00%,0.00%,0,0.00%
Walter Clayton Jr.,66,1.44,2.11,0.0,0.00%,0.7,3.85%,1.41,6.25%,5.17%,0.74,0.0,0.00%,0.0,0.00%,0.74,3.13%,1.72%,0.00%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,4.35%,0.00%,0,0.00%
Brice Sensabaugh,96,2.89,4.74,0.47,16.67%,1.9,10.26%,2.37,9.80%,10.00%,0.98,0.0,0.00%,0.49,2.33%,0.49,2.17%,2.25%,9.09%,10.53%,11.11%,12.20%,0.00%,6.25%,0.00%,0.00%,0.00%,8.33%,0,0.00%
Kyle Filipowski,169,6.6,9.78,0.84,42.86%,3.35,16.44%,5.59,20.62%,18.82%,3.39,0.0,0.00%,1.41,7.58%,1.98,8.43%,8.05%,30.43%,11.76%,6.25%,19.72%,23.08%,5.26%,7.89%,11.11%,9.68%,4.76%,3,15.00%
Kyle Anderson,52,3.0,4.96,0.0,0.00%,1.65,6.90%,3.31,16.67%,11.32%,0.89,0.0,0.00%,0.0,0.00%,0.89,5.00%,1.96%,0.00%,12.50%,0.00%,17.65%,14.29%,0.00%,0.00%,0.00%,6.67%,0.00%,0,0.00%
Elijah Harkless,13,3.51,3.23,0.0,0.00%,0.0,0.00%,3.23,11.11%,7.69%,3.85,0.0,0.00%,0.0,0.00%,3.85,16.67%,12.50%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0,0.00%
Isaiah Collier,96,3.04,5.0,0.0,0.00%,1.82,8.70%,3.18,13.73%,11.34%,0.97,0.0,0.00%,0.97,3.92%,0.0,0.00%,2.20%,8.33%,7.69%,12.50%,16.67%,0.00%,0.00%,6.25%,0.00%,0.00%,0.00%,0,0.00%
Cody Williams,73,2.15,1.8,0.0,0.00%,1.2,5.71%,0.6,2.33%,3.85%,2.52,0.0,0.00%,0.63,4.00%,1.89,9.09%,6.90%,6.67%,5.88%,0.00%,0.00%,14.29%,12.50%,0.00%,0.00%,8.70%,10.00%,0,0.00%
