Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Lauri Markkanen,172,0.54,0.54,0.0,0.27,0.27,0.0,0.0,0.0,0.54,100.00%,1.88,2,5,0.0
Svi Mykhailiuk,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.42,0,3,0.0
Walker Kessler,96,2.54,2.54,0.0,1.52,1.02,0.0,0.0,0.0,1.52,60.00%,1.52,1,2,0.51
Taylor Hendricks,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.59,0,2,0.0
Keyonte George,199,0.47,0.47,0.0,0.24,0.0,0.24,0.0,0.0,0.24,50.00%,1.66,1,6,0.0
Walter Clayton Jr.,66,0.7,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.7,100.00%,1.41,1,1,0.0
Brice Sensabaugh,96,0.95,0.95,0.0,0.47,0.47,0.0,0.0,0.0,0.47,50.00%,1.9,0,4,0.0
Kyle Filipowski,169,0.28,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.28,100.00%,1.4,2,3,0.28
Kyle Anderson,52,1.65,1.65,0.0,0.0,0.83,0.83,0.0,0.0,0.83,50.00%,4.13,4,1,0.0
Elijah Harkless,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,6.45,2,0,0.0
Isaiah Collier,96,1.36,0.91,0.45,0.0,0.91,0.0,0.0,0.45,1.36,100.00%,1.82,3,1,0.0
Cody Williams,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.2,2,0,0.0
