Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Lauri Markkanen,172,1.35,0.81,0.54,60.00%,0.54,0.27,0.27,0.0,0.0,0.0,0.0,0.0
Svi Mykhailiuk,104,1.4,0.47,0.93,33.33%,0.47,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Walker Kessler,96,5.08,2.54,2.54,50.00%,0.51,0.0,2.03,0.51,0.0,0.0,0.0,0.0
Taylor Hendricks,61,1.64,1.64,0.0,100.00%,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0
Keyonte George,199,4.84,3.39,1.45,70.00%,1.45,0.24,1.94,0.0,0.0,0.0,0.0,0.0
Walter Clayton Jr.,66,4.41,2.94,1.47,66.67%,2.94,0.0,0.0,1.47,0.0,0.0,0.0,0.0
Brice Sensabaugh,96,2.94,1.47,1.47,50.00%,0.98,0.0,0.49,0.49,0.0,0.0,0.98,0.0
Kyle Filipowski,169,3.39,1.69,1.69,50.00%,0.28,0.0,1.41,0.56,0.0,0.0,0.28,0.0
Kyle Anderson,52,4.46,2.68,1.79,60.00%,0.89,0.0,1.79,0.0,0.0,0.0,0.89,0.0
Elijah Harkless,13,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Collier,96,5.8,3.38,2.42,58.33%,0.0,0.0,3.38,1.45,0.0,0.0,0.0,0.0
Cody Williams,73,1.89,1.26,0.63,66.67%,0.63,0.0,0.63,0.0,0.63,0.0,0.0,0.0
