Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Marvin Bagley III,288,3.45,8.88,1.48,1.97,0.66,0.66,0.16,0.16,1.81
Justin Champagnie,242,1.79,4.38,1.0,0.8,0.8,0.2,0.0,0.2,0.6
Corey Kispert,184,4.3,10.13,2.78,1.52,2.03,0.76,0.0,0.51,1.01
Malaki Branham,75,2.8,6.29,2.1,0.7,1.4,0.7,0.0,0.0,0.7
CJ McCollum,430,6.4,16.16,3.04,3.36,1.63,1.3,0.11,1.19,2.17
Cam Whitmore,131,2.18,5.45,1.09,1.09,1.09,0.0,0.0,0.0,1.09
Bilal Coulibaly,218,3.67,8.86,2.16,1.51,0.65,1.3,0.22,0.43,1.08
Bub Carrington,401,8.37,19.1,6.01,2.36,3.54,2.0,0.47,0.35,2.0
AJ Johnson,49,5.21,10.42,5.21,0.0,2.08,3.13,0.0,0.0,0.0
Tre Johnson,316,3.15,7.35,2.1,1.05,0.75,1.2,0.15,0.0,1.05
Will Riley,178,5.74,13.11,4.1,1.64,2.73,0.82,0.55,0.0,1.64
Jamir Watkins,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khris Middleton,225,6.71,16.06,4.07,2.64,2.85,1.22,0.0,0.2,2.44
Tristan Vukcevic,85,2.29,5.71,1.14,1.14,0.57,0.57,0.0,0.57,0.57
Anthony Gill,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharife Cooper,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Sarr,249,5.29,13.42,2.46,2.84,1.32,0.57,0.57,0.19,2.65
