Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Marvin Bagley III,180,-2.22,378,28.04,11.64,15.87,73.33%,0.53,1.06,50.00%,50.00%,3.17,16.93,6.35,1.59,0.0,72.73%,91.43%,100.00%,6.25%,0.56,73.44%,75.71%,4.76,0.79,5.00%,0.0,0.00%,18.22
Justin Champagnie,118,-7.33,240,15.83,2.92,7.92,36.84%,1.67,5.83,28.57%,28.57%,5.0,3.33,2.5,5.0,0.0,57.14%,100.00%,100.00%,42.42%,0.56,39.39%,47.50%,2.5,1.25,15.79%,0.0,0.00%,15.66
Corey Kispert,138,-7.84,291,20.27,3.09,5.15,60.00%,3.09,7.9,39.13%,39.13%,4.81,4.12,2.06,9.28,0.0,66.67%,75.00%,100.00%,60.53%,0.54,59.21%,65.56%,0.69,0.34,6.67%,0.0,0.00%,14.46
Malaki Branham,52,-17.54,100,22.0,6.0,9.0,66.67%,2.0,7.0,28.57%,28.57%,4.0,4.0,8.0,6.0,0.0,33.33%,40.00%,100.00%,43.75%,0.59,56.25%,57.89%,2.0,0.0,0.00%,0.0,0.00%,19.47
CJ McCollum,170,-22.62,359,28.41,6.41,14.76,43.40%,3.34,11.14,30.00%,30.00%,5.57,2.79,10.03,5.85,4.18,21.74%,22.73%,58.33%,43.01%,0.49,44.09%,50.00%,0.56,1.11,7.55%,0.0,0.00%,27.41
Cam Whitmore,107,-18.95,227,27.31,6.61,13.66,48.39%,3.52,8.37,42.11%,42.11%,3.52,7.05,6.17,6.61,3.96,53.33%,57.14%,62.50%,38.00%,0.55,54.00%,57.41%,0.88,2.2,16.13%,0.0,0.00%,22.69
Bilal Coulibaly,46,-33.83,93,12.9,2.15,7.53,28.57%,1.08,6.45,16.67%,16.67%,5.38,2.15,2.15,3.23,0.0,50.00%,100.00%,100.00%,46.15%,0.6,26.92%,37.50%,2.15,1.08,14.29%,0.0,0.00%,16.67
Bub Carrington,225,-9.96,469,16.2,2.56,7.04,36.36%,3.2,7.04,45.45%,45.45%,1.49,0.85,4.26,5.76,3.84,16.67%,16.67%,60.00%,50.00%,0.49,52.27%,52.86%,0.0,0.64,9.09%,0.0,0.00%,17.88
Tre Johnson,151,-6.88,311,29.58,6.43,10.61,60.61%,3.86,12.22,31.58%,31.58%,5.14,2.57,10.29,7.72,3.86,20.00%,21.05%,66.67%,53.52%,0.48,53.52%,57.59%,0.64,0.32,3.03%,0.0,0.00%,24.72
Jamir Watkins,61,4.02,124,16.13,3.23,3.23,100.00%,1.61,3.23,50.00%,50.00%,4.84,3.23,3.23,4.84,0.0,50.00%,66.67%,100.00%,50.00%,0.57,87.50%,90.91%,1.61,0.0,0.00%,0.0,0.00%,9.77
Will Riley,123,0.32,249,14.06,4.82,10.04,48.00%,0.4,4.42,9.09%,9.09%,3.21,5.62,4.02,1.2,0.0,58.33%,58.33%,100.00%,30.56%,0.51,37.50%,42.68%,0.0,0.0,0.00%,0.0,0.00%,14.89
Tristan Vukcevic,69,-29.86,140,30.71,10.71,13.57,78.95%,0.71,8.57,8.33%,8.33%,7.14,17.14,4.29,2.14,0.0,80.00%,80.00%,100.00%,38.71%,0.54,53.23%,56.58%,0.0,2.14,15.79%,0.0,0.00%,29.8
Anthony Gill,12,28.76,21,19.05,9.52,9.52,100.00%,0.0,4.76,0.00%,0.00%,0.0,9.52,9.52,0.0,0.0,50.00%,50.00%,0.00%,33.33%,0.53,66.67%,66.67%,0.0,0.0,0.00%,0.0,0.00%,13.04
Sharife Cooper,3,-20.0,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,20.0
AJ Johnson,15,17.85,27,0.0,0.0,11.11,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.5,0.00%,0.00%,0.0,3.7,33.33%,0.0,0.00%,13.79
Alex Sarr,44,-22.39,86,32.56,12.79,19.77,64.71%,1.16,6.98,16.67%,16.67%,3.49,20.93,4.65,3.49,0.0,81.82%,90.00%,100.00%,26.09%,0.52,54.35%,53.85%,2.33,1.16,5.88%,0.0,0.00%,28.87
