Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Marvin Bagley III,180,5.67,6.56,0.0,0.00%,3.41,13.83%,3.15,13.79%,13.81%,4.76,0.0,0.00%,3.97,16.48%,0.79,3.26%,9.84%,7.14%,17.02%,15.79%,14.49%,11.11%,13.33%,18.60%,16.67%,2.63%,6.25%,3,21.43%
Justin Champagnie,118,9.8,11.6,1.2,75.00%,4.0,20.41%,6.4,27.12%,24.07%,7.92,0.0,0.00%,4.58,16.67%,3.33,14.55%,15.70%,7.14%,29.63%,12.50%,29.79%,16.67%,25.00%,14.29%,9.09%,16.67%,0.00%,4,21.05%
Corey Kispert,138,2.73,4.41,0.0,0.00%,2.37,9.33%,2.03,10.00%,9.63%,1.03,0.0,0.00%,1.03,5.36%,0.0,0.00%,2.34%,3.57%,10.81%,20.00%,11.76%,0.00%,5.56%,3.70%,9.09%,0.00%,0.00%,1,5.26%
Malaki Branham,52,4.69,7.08,0.88,50.00%,1.77,7.14%,4.42,20.83%,13.46%,2.0,0.0,0.00%,0.0,0.00%,2.0,8.00%,3.64%,10.00%,0.00%,33.33%,18.18%,50.00%,0.00%,0.00%,0.00%,5.00%,20.00%,0,0.00%
CJ McCollum,170,2.24,3.66,0.0,0.00%,2.54,8.49%,1.13,5.13%,7.07%,0.84,0.0,0.00%,0.28,1.20%,0.56,2.11%,1.69%,5.41%,9.26%,13.33%,1.59%,20.00%,0.00%,0.00%,6.25%,2.44%,0.00%,0,0.00%
Cam Whitmore,107,4.38,6.09,0.43,16.67%,2.61,10.53%,3.04,17.07%,13.27%,2.64,0.0,0.00%,1.76,7.84%,0.88,4.00%,5.94%,10.00%,10.71%,11.11%,14.71%,28.57%,11.76%,4.17%,10.00%,4.55%,0.00%,1,4.55%
Bilal Coulibaly,46,4.12,4.95,0.0,0.00%,0.99,4.35%,3.96,16.67%,10.64%,3.23,1.08,50.00%,1.08,5.26%,1.08,3.23%,4.00%,7.69%,0.00%,0.00%,13.64%,50.00%,0.00%,14.29%,0.00%,3.57%,0.00%,0,0.00%
Bub Carrington,225,4.22,7.31,0.42,16.67%,4.18,17.09%,2.71,11.71%,14.47%,1.07,0.0,0.00%,0.64,2.68%,0.43,1.94%,2.33%,19.51%,16.07%,15.00%,11.24%,13.64%,2.86%,1.82%,4.55%,2.27%,0.00%,2,5.56%
Tre Johnson,151,3.28,5.76,0.3,12.50%,2.73,10.71%,2.73,12.68%,11.61%,0.64,0.0,0.00%,0.0,0.00%,0.64,2.67%,1.39%,12.00%,8.16%,20.00%,15.79%,0.00%,0.00%,0.00%,0.00%,2.94%,0.00%,0,0.00%
Jamir Watkins,61,5.2,9.52,0.0,0.00%,6.35,24.24%,3.17,11.11%,17.39%,0.81,0.0,0.00%,0.0,0.00%,0.81,3.33%,1.79%,25.00%,20.00%,40.00%,15.38%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0,0.00%
