Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Marvin Bagley III,288,1.64,1.64,0.0,0.66,0.99,0.0,0.0,0.0,1.15,70.00%,1.15,4,3,0.16
Justin Champagnie,242,1.98,1.98,0.0,0.99,0.99,0.0,0.0,0.0,1.39,70.00%,2.18,4,7,0.6
Corey Kispert,184,0.26,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.26,100.00%,1.03,2,2,0.0
Malaki Branham,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
CJ McCollum,430,0.56,0.56,0.0,0.11,0.45,0.0,0.0,0.0,0.56,100.00%,1.23,8,3,0.0
Cam Whitmore,131,0.72,0.72,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.00%,2.16,2,4,0.0
Bilal Coulibaly,218,2.62,2.62,0.0,0.66,1.75,0.22,0.0,0.0,1.53,58.33%,3.06,6,8,0.0
Bub Carrington,401,0.35,0.35,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.00%,0.83,4,3,0.0
AJ Johnson,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.98,0,2,0.0
Tre Johnson,316,0.44,0.44,0.0,0.3,0.15,0.0,0.0,0.0,0.44,100.00%,1.33,5,4,0.0
Will Riley,178,1.08,1.08,0.0,0.81,0.27,0.0,0.0,0.0,0.81,75.00%,1.36,1,4,0.0
Jamir Watkins,78,1.27,1.27,0.0,1.27,0.0,0.0,0.0,0.0,1.27,100.00%,0.0,0,0,0.0
Khris Middleton,225,1.06,1.06,0.0,0.42,0.64,0.0,0.0,0.0,0.42,40.00%,1.48,2,5,0.0
Tristan Vukcevic,85,2.73,2.73,0.0,1.64,1.09,0.0,0.0,0.0,1.64,60.00%,1.09,0,2,0.0
Anthony Gill,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Sharife Cooper,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Alex Sarr,249,4.83,4.44,0.39,2.51,1.93,0.0,0.0,0.39,2.32,48.00%,0.97,1,4,1.16
