Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125062-157808,PG,Cade,Cade Cunningham,Cunningham,51.24666748046875,30,10500,MIA@DET,DET,MIA,,,,,,PG
125062-145331,PG,Tyrese,Tyrese Maxey,Maxey,51.88620521282328,29,10300,PHI@DAL,PHI,DAL,,,,,,PG
125062-15755,C/PF,Anthony,Anthony Davis,Davis,44.45624923706055,16,10200,PHI@DAL,DAL,PHI,,,,,,PF/C
125062-157908,C/PF,Alperen,Alperen Sengun,Sengun,48.10769418569711,26,10100,HOU@BKN,HOU,BKN,Q,Calf,,,,PF/C
125062-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.75333251953125,30,9700,BOS@SAC,BOS,SAC,,,,,,SG/SF
125062-9646,SF/PF,Kevin,Kevin Durant,Durant,40.06428745814732,28,9100,HOU@BKN,HOU,BKN,,,,,,SF/PF
125062-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,36.91515003551137,33,8900,PHI@DAL,DAL,PHI,,,,,,PG/SG/SF
125062-84682,PF/SF,Michael,Michael Porter,Porter,40.80769230769231,26,8700,HOU@BKN,BKN,HOU,Q,Illness,,,,SF/PF
125062-49111,C,Joel,Joel Embiid,Embiid,39.057141985212056,14,8500,PHI@DAL,PHI,DAL,P,Knee,,,,C
125062-188405,SG/PG,Amen,Amen Thompson,Thompson,37.539998372395836,30,8400,HOU@BKN,HOU,BKN,,,,,,PG/SG
125062-49675,SG/PG,Derrick,Derrick White,White,37.88387175529234,31,8100,BOS@SAC,BOS,SAC,,,,,,PG/SG
125062-110312,SG/PG,Tyler,Tyler Herro,Herro,36,6,7800,MIA@DET,MIA,DET,O,Toe,,,,PG/SG
125062-9642,PG,Russell,Russell Westbrook,Westbrook,34.36363636363637,33,7700,BOS@SAC,SAC,BOS,,,,,,PG
125062-80817,C/PF,Bam,Bam Adebayo,Adebayo,36.5439990234375,25,7600,MIA@DET,MIA,DET,,,,,,PF/C
125062-16293,SF/SG,Norman,Norman Powell,Powell,35.45357186453683,28,7400,MIA@DET,MIA,DET,,,,,,SG/SF
125062-171779,C,Jalen,Jalen Duren,Duren,37.05,30,7300,MIA@DET,DET,MIA,,,,,,C
125062-110352,PF/SF,P.J.,P.J. Washington,Washington,32.71071515764509,28,7300,PHI@DAL,DAL,PHI,,,,,,SF/PF
125062-203730,C/PF,Kel'el,Kel'el Ware,Ware,31.796971176609848,33,7100,MIA@DET,MIA,DET,,,,,,PF/C
125062-9714,SF/PF,DeMar,DeMar DeRozan,DeRozan,32.09393865411932,33,7000,BOS@SAC,SAC,BOS,,,,,,SF/PF
125062-145335,PG/SG,Payton,Payton Pritchard,Pritchard,31.456249237060547,32,6900,BOS@SAC,BOS,SAC,,,,,,PG/SG
125062-12341,SF/PF,Paul,Paul George,George,30.719999186197917,15,6800,PHI@DAL,PHI,DAL,,,,,,SF/PF
125062-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,31.92222312644676,27,6700,PHI@DAL,PHI,DAL,,,,,,SG/SF
125062-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,32.00689697265625,29,6600,MIA@DET,MIA,DET,,,,,,SF/PF
125062-171767,PF/SF,Jabari,Jabari Smith,Smith,30.137931034482758,29,6600,HOU@BKN,HOU,BKN,,,,,,SF/PF
125062-110354,C,Nic,Nic Claxton,Claxton,34.310001627604166,30,6500,HOU@BKN,BKN,HOU,,,,,,C
