entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3645165275","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3645165277","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3645165278","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3645165279","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","","4) You can not use this form to create new entries"
"3645165280","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","",""
"3645165282","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3645165283","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84669:Luka Doncic,125182-84669,PG,Luka,Luka Doncic,Doncic,58.1160009765625,25,12000,MEM@LAL,LAL,MEM,,,,,,PG
"3645165284","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-40199:Giannis Antetokounmpo,125182-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,51.323811848958336,21,10900,MIL@SAC,MIL,SAC,P,Calf,,,,PF
"3645165285","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84680:Shai Gilgeous-Alexander,125182-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,51.89411836511948,34,10800,OKC@PHO,OKC,PHO,,,,,,PG
"3645165287","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-145321:Anthony Edwards,125182-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.475001743861604,28,9800,MIN@WAS,MIN,WAS,,,,,,SG/SF
"3645165288","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-58460:Devin Booker,125182-58460,PG/SG,Devin,Devin Booker,Booker,40.71290243825605,31,8900,OKC@PHO,PHO,OKC,,,,,,PG/SG
"3645165290","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110310:Zion Williamson,125182-110310,PF,Zion,Zion Williamson,Williamson,38.32999877929687,20,8800,NO@MIA,NO,MIA,,,,,,PF
"3645165291","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-9488:LeBron James,125182-9488,PF/SF,LeBron,LeBron James,James,38.837501525878906,16,8700,MEM@LAL,LAL,MEM,,,,,,SF/PF
"3645165292","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110345:Kevin Porter,125182-110345,PG/SG,Kevin,Kevin Porter,Porter,40.474998474121094,16,8200,MIL@SAC,MIL,SAC,,,,,,PG/SG
"3645165294","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-42669:Julius Randle,125182-42669,PF,Julius,Julius Randle,Randle,40.75428641183036,35,8000,MIN@WAS,MIN,WAS,,,,,,PF
"3645165295","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110344:Ja Morant,125182-110344,PG,Ja,Ja Morant,Morant,34.144443088107636,18,7900,MEM@LAL,MEM,LAL,Q,Calf,,,,PG
"3645165296","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171759:Chet Holmgren,125182-171759,C/PF,Chet,Chet Holmgren,Holmgren,35.53000081380208,30,7900,OKC@PHO,OKC,PHO,,,,,,PF/C
"3645165297","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84683:Jaren Jackson,125182-84683,PF/C,Jaren,Jaren Jackson,Jackson,33.275001525878906,32,7800,MEM@LAL,MEM,LAL,,,,,,PF/C
"3645165298","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110312:Tyler Herro,125182-110312,SG/PG,Tyler,Tyler Herro,Herro,36,6,7800,NO@MIA,MIA,NO,D,Toe,,,,PG/SG
"3645165300","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-80817:Bam Adebayo,125182-80817,C/PF,Bam,Bam Adebayo,Adebayo,36.34074119285301,27,7700,NO@MIA,MIA,NO,,,,,,PF/C
"3645165301","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203764:Alex Sarr,125182-203764,C/PF,Alex,Alex Sarr,Sarr,39.42083231608073,24,7700,MIN@WAS,WAS,MIN,,,,,,PF/C
"3645165303","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171760:Jalen Williams,125182-171760,SF/PF,Jalen,Jalen Williams,Williams,35.4375,16,7600,OKC@PHO,OKC,PHO,,,,,,SF/PF
"3645165305","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-16293:Norman Powell,125182-16293,SF/SG,Norman,Norman Powell,Powell,35.2933349609375,30,7500,NO@MIA,MIA,NO,,,,,,SG/SF
"3645165308","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157847:Trey Murphy,125182-157847,SF/SG,Trey,Trey Murphy,Murphy,36.49090761126894,33,7400,NO@MIA,NO,MIA,,,,,,SG/SF
"3645165309","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-9642:Russell Westbrook,125182-9642,PG,Russell,Russell Westbrook,Westbrook,33.982857840401785,35,7300,MIL@SAC,SAC,MIL,,,,,,PG
"3645165310","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203730:Kel'el Ware,125182-203730,C/PF,Kel'el,Kel'el Ware,Ware,31.542857142857144,35,7200,NO@MIA,MIA,NO,,,,,,PF/C
"3645165311","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228132:Derik Queen,125182-228132,PF/C,Derik,Derik Queen,Queen,31.191427176339285,35,7100,NO@MIA,NO,MIA,,,,,,PF/C
"3645165313","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157844:Santi Aldama,125182-157844,PF/C,Santi,Santi Aldama,Aldama,30.45294189453125,34,7000,MEM@LAL,MEM,LAL,Q,Ankle,,,,PF/C
"3645165314","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171668:Collin Gillespie,125182-171668,PG/SG,Collin,Collin Gillespie,Gillespie,29.91764741785386,34,7000,OKC@PHO,PHO,OKC,,,,,,PG/SG
"3645165315","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171772:Ryan Rollins,125182-171772,PG/SG,Ryan,Ryan Rollins,Rollins,34.7028564453125,35,7000,MIL@SAC,MIL,SAC,,,,,,PG/SG
