FD_ID,FD_POS,FD_GAME,PLAYER_FULL,PLAYER,NAME_KEY,team,TEAM,OPPONENT,gameInfo,game_abbr,salary,SAL,minutes,WOWY_USG,USG,TEAM_IMPLIED_PTS,TEAM_MODEL_PTS_SUM,TEAM_PTS_SCALE,WOWY_PPM,BASE_PPM,poss_per_min,pace_scale_raw,pace_scale,poss_exp,WOWY_MINS_SAMPLE,BASE_PTS100,WOWY_PTS100,PTS100,BASE_REB100,WOWY_REB100,REB100,BASE_AST100,WOWY_AST100,AST100,BASE_STL100,WOWY_STL100,STL100,BASE_BLK100,WOWY_BLK100,BLK100,BASE_TOV100,WOWY_TOV100,TOV100,PTS,REB,AST,STL,BLK,TOV,OPP_DEF_RTG,DEF_MULT_MEAN,DEF_MULT_RAW,fd_mean,fd_sd,fd_var,value,own_pct
125062-157808,PG,MIA@DET,Cade Cunningham,C. Cunningham,cade cunningham,Detroit Pistons,DET,MIA,MIA @ DET,MIA @ DET,10500.0,$10500,37.0,0.34130000000000005,0.24934801010739105,120.5,133.33523614204162,0.92491494011285,2.060052219321149,2.127659574468085,2.1091159243752333,1.037280701754386,1.037280701754386,80.94657410633982,383.0,34.9,41.32,39.35531703344319,8.2,7.739999999999999,8.001973778043107,12.7,12.8,12.743049178686281,2.0,1.65,1.9462546080399137,1.0,0.63,0.9431834427850515,5.2,4.82,5.062513094880294,29.062155899853586,6.477323634213545,9.880323648421715,1.5754264285950823,0.763474684472729,4.014328220243262,112.5,0.986334321073732,0.9736447620707689,54.65780485250257,10.423994231877373,107.26999318949694,5.205505224047864,29.640934337566918
125062-67026,SG/SF,BOS@SAC,Jaylen Brown,J. Brown,jaylen brown,Boston Celtics,BOS,SAC,BOS @ SAC,BOS @ SAC,9700.0,$9700,34.0,0.3605,0.2821542750929368,119.5,120.12915040689965,0.9959149189374976,2.0294117647058822,2.0491803278688527,2.038780535661633,1.006578947368421,1.006578947368421,69.7745812270514,952.0,42.6,43.69,43.547707780005865,9.1,9.41,9.313729621298732,7.2,7.3,7.2689450391286226,1.7,1.77,1.724332638281722,0.7,0.68,0.6930478176337938,5.3,5.43,5.381220849823211,31.12141246133201,6.4986158398810305,5.1118801692975575,1.2031458773224384,0.4835712124571985,3.7943197203785366,119.4,1.0284294927662543,1.0548283074777762,47.85340327209595,9.486158501447683,87.57581549775013,4.9333405435150475,28.93297154532483
125062-15755,PF/C,PHI@DAL,Anthony Davis,A. Davis,anthony davis,Dallas Mavericks,DAL,PHI,PHI @ DAL,PHI @ DAL,10200.0,$10200,32.0,0.2837,0.23759626055488542,114.0,118.19434479316729,0.9723202582628165,2.076419213973799,2.1141649048625792,2.1029363531685017,1.0109649122807018,1.0109649122807018,68.03183570601259,458.0,32.4,32.81,32.6942027198869,17.2,17.61,17.38800520239932,4.4,4.42,4.409170985482894,2.0,2.08,2.0135136018136537,2.5,2.49,2.4983107997732934,2.8,2.94,2.854381864961358,21.436807399447527,11.829379131849226,2.949029753155842,1.3698302655040813,1.6996466987273362,1.9243521061677542,113.3,0.9912149206902563,0.9830573470454943,47.33968577392685,9.970168635522734,98.6390856313246,4.641145664110476,28.410192516038837
125062-145331,PG,PHI@DAL,Tyrese Maxey,T. Maxey,tyrese maxey,Philadelphia 76ers,PHI,DAL,PHI @ DAL,PHI @ DAL,10300.0,$10300,38.5,0.2843,0.2444652039235932,116.5,129.66498612499757,0.9208059979461298,2.08955223880597,2.0964360587002093,2.0935822883225432,1.0109649122807018,1.0109649122807018,81.48672202695758,737.0,37.0,36.17,36.32813326718908,5.2,4.93,5.041743597655184,8.5,7.99,8.201071240015349,2.1,2.5,2.2014700351043794,1.0,0.86,0.9644854877134672,3.1,2.99,3.043341496586857,26.985531112592614,4.108351590733211,6.395690587351751,1.793905768012271,0.7859276083634191,2.43087261383277,113.1,0.9899947707861252,0.980704200801813,46.817716417794394,9.761553707360347,94.27040810858256,4.545409360950912,28.414602631891924
125062-157908,PF/C,HOU@BKN,Alperen Sengun,A. Sengun,alperen sengun,Houston Rockets,HOU,BKN,HOU @ BKN,HOU @ BKN,10100.0,$10100,35.0,0.2839,0.243004,115.0,118.03602388156989,0.9799374923879127,2.013333333333333,2.0491803278688527,2.0351470387686073,0.9583333333333334,0.9583333333333334,68.26222359203038,675.0,31.1,33.11,32.696415195000725,12.9,12.59,12.72556957162301,9.3,9.12,9.198717815781103,2.1,2.34,2.156625316512476,1.4,1.44,1.4094375527520793,4.8,4.86,4.829465440778339,22.039644069694702,8.686756754340681,6.232984996636507,1.472160395600079,0.9621134136496654,3.2935684298759775,116.0,1.007686944396026,1.014824821335193,45.822482667731535,9.768731971044346,94.4695070436386,4.536879472052627,28.25189831542912
125062-49111,C,PHI@DAL,Joel Embiid,J. Embiid,joel embiid,Philadelphia 76ers,PHI,DAL,PHI @ DAL,PHI @ DAL,8500.0,$8500,33.0,0.3529,0.24463116089613035,116.5,129.66498612499757,0.9208059979461298,2.131868131868132,2.127659574468085,2.1285347365630694,1.0109649122807018,1.0109649122807018,71.01183979678504,273.0,38.3,39.86,39.254236506212635,11.4,11.43,11.41032899744968,5.3,4.47,5.014231070558848,1.2,1.04,1.1820932648474258,2.3,2.26,2.2955233162118565,4.3,4.12,4.249141901750482,25.410800090472595,8.102684547955075,3.4077295574325785,0.8394261754820399,1.6300933398062107,2.957717321978179,113.1,0.9899947707861252,0.980704200801813,44.696457108054126,9.557240532321607,90.3589095646398,5.258406718594603,27.462628590938944
125062-171779,C,MIA@DET,Jalen Duren,J. Duren,jalen duren,Detroit Pistons,DET,MIA,MIA @ DET,MIA @ DET,7300.0,$7300,29.5,0.2234,0.22065806451612904,120.5,133.33523614204162,0.92491494011285,2.0555555555555554,2.100840336134454,2.092047004270783,1.037280701754386,1.037280701754386,64.01617954844818,288.0,30.0,31.08,30.63842992944634,18.0,18.45,18.146343840786017,2.9,3.21,3.000814645874813,1.5,2.71,1.6254454714756104,1.5,0.85,1.4326119368106225,3.8,4.39,3.9566399379629043,17.892960292750818,11.616596054596343,1.8400442271589768,1.0405480914819467,0.9171034297011891,2.481215745788091,112.5,0.986334321073732,0.9736447620707689,37.98468071676621,8.687445800436196,75.44986656694884,5.203380920104961,27.24160225368856
125062-228113,PG/SG/SF,PHI@DAL,Cooper Flagg,C. Flagg,cooper flagg,Dallas Mavericks,DAL,PHI,PHI @ DAL,PHI @ DAL,8900.0,$8900,35.5,0.23929999999999998,0.22920849673202615,114.0,118.19434479316729,0.9723202582628165,2.0913242009132422,2.1367521367521367,2.114449372854648,1.0109649122807018,1.0109649122807018,75.88601142862444,1095.0,26.3,26.68,26.62400747385894,8.7,8.85,8.7987857676842,5.4,5.59,5.5251286390666525,1.6,1.68,1.6253152087257356,1.1,1.16,1.1189864065443018,3.0,3.14,3.082779018935005,19.47207880888149,6.677047573245012,4.122058438556146,1.233386885044783,0.8491541523549628,2.3182720424750847,113.3,0.9912149206902563,0.9830573470454943,37.596974624333875,8.775757212926026,76.70282008665825,4.224379171273469,25.365304493561812
125062-9646,SF/PF,HOU@BKN,Kevin Durant,K. Durant,kevin durant,Houston Rockets,HOU,BKN,HOU @ BKN,HOU @ BKN,9100.0,$9100,34.0,0.2559,0.2334508077123502,115.0,118.03602388156989,0.9799374923879127,2.043115438108484,2.05761316872428,2.0519065042642466,0.9583333333333334,0.9583333333333334,66.8579535972767,719.0,34.5,36.01,35.701513244606716,6.7,6.949999999999999,6.841223343698624,5.8,5.85,5.828244668739725,1.1,1.12,1.104751319970308,1.3,1.48,1.3427618797327714,4.2,4.29,4.244400721094179,23.570224004356565,4.573901928616088,3.8679353688438582,0.7386141248710505,0.8977431144736566,2.8350234571070714,116.0,1.007686944396026,1.014824821335193,36.93485763288871,8.458110405786478,71.1181066441992,4.058775564053704,26.84971407318008
125062-203730,PF/C,MIA@DET,Kel'el Ware,K. Ware,kel el ware,Miami Heat,MIA,DET,MIA @ DET,MIA @ DET,7100.0,$7100,27.5,0.1764,0.2091,116.0,119.4441450000943,0.9775088758007231,2.12,2.197802197802198,2.17933512918994,1.037280701754386,1.037280701754386,62.16601248451347,400.0,23.1,26.77,25.49009479494122,19.4,19.78,19.54578870981413,0.9,0.83,0.8731441850342395,1.8,1.39,1.7467103339195387,2.3,2.08,2.2714055450299964,1.9,1.3,1.7090397891943265,15.013724986980227,12.150837449539678,0.5305793346746818,1.0858601642527075,1.4120422546972788,1.0451285177615541,110.2,0.9723025971762247,0.9465835802684333,36.83917766752826,8.71649770733733,76.34303447205413,5.188616572891305,27.144848235865677
