FD_ID,PLAYER,Count,Exposure
125339-145329,Paul Reed,64,0.4266666666666667
125339-171780,Jaden Ivey,46,0.30666666666666664
125339-203808,Ajay Mitchell,43,0.2866666666666667
125339-188426,Ausar Thompson,30,0.2
125339-188416,Bilal Coulibaly,30,0.2
125339-203764,Alex Sarr,30,0.2
125339-157833,Jalen Johnson,29,0.19333333333333333
125339-84669,Luka Doncic,27,0.18
125339-228132,Derik Queen,24,0.16
125339-171784,Dyson Daniels,24,0.16
125339-145307,Isaiah Stewart,23,0.15333333333333332
125339-171760,Jalen Williams,23,0.15333333333333332
125339-110356,Nickeil Alexander-Walker,22,0.14666666666666667
125339-157822,Scottie Barnes,22,0.14666666666666667
125339-171757,Jake LaRavia,21,0.14
125339-110345,Kevin Porter Jr.,21,0.14
125339-49675,Derrick White,20,0.13333333333333333
125339-158855,Justin Champagnie,19,0.12666666666666668
125339-80812,Lauri Markkanen,19,0.12666666666666668
125339-171759,Chet Holmgren,19,0.12666666666666668
125339-84703,De'Anthony Melton,18,0.12
125339-188415,Cason Wallace,17,0.11333333333333333
125339-12341,Paul George,15,0.1
125339-60233,Dillon Brooks,15,0.1
125339-23798,Caris LeVert,15,0.1
125339-23670,Marcus Smart,14,0.09333333333333334
125339-9644,James Harden,14,0.09333333333333334
125339-188412,Keyonte George,14,0.09333333333333334
125339-172098,Julian Champagnie,13,0.08666666666666667
125339-14528,Jimmy Butler,13,0.08666666666666667
125339-171769,Tari Eason,13,0.08666666666666667
125339-9646,Kevin Durant,13,0.08666666666666667
125339-203776,Jaylen Wells,13,0.08666666666666667
125339-203761,Matas Buzelis,12,0.08
125339-171804,Shaedon Sharpe,12,0.08
125339-110310,Zion Williamson,12,0.08
125339-84678,Miles Bridges,12,0.08
125339-110322,Jordan Poole,11,0.07333333333333333
125339-145331,Tyrese Maxey,11,0.07333333333333333
125339-84670,Mikal Bridges,11,0.07333333333333333
125339-67026,Jaylen Brown,11,0.07333333333333333
125339-228118,Tre Johnson,11,0.07333333333333333
125339-80810,De'Aaron Fox,10,0.06666666666666667
125339-9524,Stephen Curry,10,0.06666666666666667
125339-171772,Ryan Rollins,10,0.06666666666666667
125339-68090,OG Anunoby,10,0.06666666666666667
125339-145348,Immanuel Quickley,10,0.06666666666666667
125339-145323,Tre Jones,10,0.06666666666666667
125339-228133,VJ Edgecombe,10,0.06666666666666667
125339-110357,RJ Barrett,10,0.06666666666666667
