Lineup #,SelScore,HitCount,Salary,ProjSum,MaxSimPts,Players,FD_IDs
1,1.8734,1,59100,316.97,690.87,Luka Doncic (LAL) | De'Aaron Fox (SAS) | Ausar Thompson (DET) | Miles McBride (NYK) | Justin Champagnie (WAS) | Peyton Watson (DEN) | Isaiah Stewart (DET) | Collin Murray-Boyles (TOR) | Paul Reed (DET),"125339-84669,125339-80810,125339-188426,125339-157824,125339-158855,125339-171761,125339-145307,125339-228122,125339-145329"
2,1.8273,1,59400,315.87,634.42,Stephon Castle (SAS) | Stephen Curry (GSW) | Marcus Smart (LAL) | Ausar Thompson (DET) | Tristan Da Silva (ORL) | Julian Champagnie (SAS) | Jalen Johnson (ATL) | Derik Queen (NOP) | Paul Reed (DET),"125339-203723,125339-9524,125339-23670,125339-188426,125339-203716,125339-172098,125339-157833,125339-228132,125339-145329"
3,1.827,1,60000,303.72,649.58,LaMelo Ball (CHA) | Derrick White (BOS) | Ryan Rollins (MIL) | Ausar Thompson (DET) | Desmond Bane (ORL) | Zaccharie Risacher (ATL) | Paul George (PHI) | Matas Buzelis (CHI) | Paul Reed (DET),"125339-145485,125339-49675,125339-171772,125339-188426,125339-145334,125339-203767,125339-12341,125339-203761,125339-145329"
4,1.804,1,59700,303.32,621.24,Ryan Rollins (MIL) | Luka Doncic (LAL) | Ausar Thompson (DET) | Derrick White (BOS) | Royce O'Neale (PHX) | Sam Hauser (BOS) | Derik Queen (NOP) | Jake LaRavia (LAL) | Goga Bitadze (ORL),"125339-171772,125339-84669,125339-188426,125339-49675,125339-18338,125339-158854,125339-228132,125339-171757,125339-110359"
5,1.7941,1,59300,296.69,617.25,Shaedon Sharpe (POR) | Kevin Porter Jr. (MIL) | Kon Knueppel (CHA) | James Harden (LAC) | Quentin Grimes (PHI) | Duncan Robinson (DET) | John Collins (LAC) | OG Anunoby (NYK) | Paul Reed (DET),"125339-171804,125339-110345,125339-228135,125339-9644,125339-157826,125339-85137,125339-66236,125339-68090,125339-145329"
6,1.7907,1,59000,304.61,602.91,Dyson Daniels (ATL) | Immanuel Quickley (TOR) | Jaden Ivey (DET) | Collin Gillespie (PHX) | Lauri Markkanen (UTA) | Paul George (PHI) | Jake LaRavia (LAL) | Bilal Coulibaly (WAS) | Derik Queen (NOP),"125339-171784,125339-145348,125339-171780,125339-171668,125339-80812,125339-12341,125339-171757,125339-188416,125339-228132"
7,1.7865,1,59500,313.02,586.88,Collin Gillespie (PHX) | Keyonte George (UTA) | Moses Moody (GSW) | Jaden Ivey (DET) | Ausar Thompson (DET) | OG Anunoby (NYK) | Kawhi Leonard (LAC) | Alex Sarr (WAS) | Paul Reed (DET),"125339-171668,125339-188412,125339-157802,125339-171780,125339-188426,125339-68090,125339-14513,125339-203764,125339-145329"
8,1.786,1,59600,298.5,604.8,Jaden Ivey (DET) | Kevin Porter Jr. (MIL) | Kevin Huerter (CHI) | Jordan Goodwin (PHX) | Ausar Thompson (DET) | Jimmy Butler (GSW) | Karl-Anthony Towns (NYK) | Zion Williamson (NOP) | Collin Murray-Boyles (TOR),"125339-171780,125339-110345,125339-84704,125339-160174,125339-188426,125339-14528,125339-58462,125339-110310,125339-228122"
9,1.7748,1,59400,309.47,576.73,Dyson Daniels (ATL) | Nickeil Alexander-Walker (ATL) | Ajay Mitchell (OKC) | Derrick White (BOS) | Michael Porter Jr. (BKN) | Brice Sensabaugh (UTA) | Zion Williamson (NOP) | Jarred Vanderbilt (LAL) | Paul Reed (DET),"125339-171784,125339-110356,125339-203808,125339-49675,125339-84682,125339-188413,125339-110310,125339-84721,125339-145329"
10,1.7744,1,60000,293.7,596.4,Derrick White (BOS) | Kevin Porter Jr. (MIL) | Jase Richardson (ORL) | Jordan Poole (NOP) | Quentin Grimes (PHI) | Jake LaRavia (LAL) | Alex Sarr (WAS) | Miles Bridges (CHA) | Jusuf Nurkic (UTA),"125339-49675,125339-110345,125339-228128,125339-110322,125339-157826,125339-171757,125339-203764,125339-84678,125339-55057"
11,1.7698,1,59900,293.51,590.89,Luke Kennard (ATL) | Tyrese Maxey (PHI) | Derrick White (BOS) | Cason Wallace (OKC) | Kawhi Leonard (LAC) | Bilal Coulibaly (WAS) | Justin Champagnie (WAS) | Santi Aldama (MEM) | Luka Garza (BOS),"125339-66046,125339-145331,125339-49675,125339-188415,125339-14513,125339-188416,125339-158855,125339-157844,125339-157807"
